Player,Age,Salary,Games,Points,Rebounds,Assists,Turnovers,Steals,Blocks,League
A'ja Wilson,27.0,202154.0,40.0,912.0,380.0,64.0,64.0,56.0,88.0,WNBA
Aari McDonald,25.0,78586.0,24.0,189.6,48.0,72.0,38.4,14.4,0.0,WNBA
Abby Meyers,24.0,12997.0,9.0,12.6,3.6,0.0,0.9,0.9,1.8,WNBA
Aerial Powers,30.0,201984.0,20.0,104.0,36.0,16.0,18.0,4.0,2.0,WNBA
Alaina Coates,29.0,20837.0,12.0,10.8,9.6,0.0,7.2,3.6,0.0,WNBA
Alanna Smith,27.0,100000.0,38.0,349.6,250.8,68.4,57.0,49.4,49.4,WNBA
Aliyah Boston,22.0,74305.0,40.0,580.0,336.0,88.0,76.0,52.0,52.0,WNBA
Allisha Gray,29.0,194600.0,38.0,649.8,186.2,117.8,72.2,41.8,15.2,WNBA
Alysha Clark,36.0,110000.0,39.0,261.3,132.6,42.9,27.3,23.4,7.8,WNBA
Alyssa Thomas,32.0,212000.0,40.0,620.0,396.0,316.0,136.0,72.0,20.0,WNBA
Amanda Zahui B.,30.0,74305.0,34.0,57.8,37.4,10.2,13.6,6.8,17.0,WNBA
Arella Guirantes,26.0,24372.0,9.0,11.7,6.3,2.7,2.7,0.9,3.6,WNBA
Ariel Atkins,27.0,175000.0,27.0,310.5,83.7,62.1,35.1,32.4,8.1,WNBA
Arike Ogunbowale,27.0,234936.0,40.0,848.0,136.0,180.0,104.0,68.0,4.0,WNBA
Ashley Joens,24.0,43232.0,19.0,39.9,11.4,1.9,5.7,3.8,0.0,WNBA
Asia (Ad) Durr,27.0,74305.0,36.0,6228.0,1368.0,900.0,1008.0,360.0,108.0,WNBA
Awak Kuier,22.0,78586.0,37.0,96.2,92.5,18.5,22.2,7.4,22.2,WNBA
Azura Stevens,28.0,190000.0,35.0,378.0,206.5,38.5,52.5,42.0,31.5,WNBA
Bernadett Hatar,29.0,37913.0,6.0,12.0,9.0,1.2,4.2,4.2,1.8,WNBA
Betnijah Laney-Hamilton,30.0,201984.0,40.0,20520.0,5200.0,3880.0,3000.0,1360.0,160.0,WNBA
Breanna Stewart,29.0,180000.0,40.0,920.0,372.0,152.0,60.0,60.0,64.0,WNBA
Brianna Turner,27.0,150000.0,40.0,140.0,252.0,52.0,60.0,40.0,44.0,WNBA
Bridget Carleton,27.0,91000.0,38.0,121.6,87.4,34.2,15.2,11.4,3.8,WNBA
Brionna Jones,28.0,208000.0,13.0,206.7,106.6,31.2,28.6,23.4,6.5,WNBA
Brittney Griner,33.0,165100.0,31.0,542.5,195.3,68.2,65.1,15.5,49.6,WNBA
Brittney Sykes,30.0,190000.0,40.0,636.0,200.0,152.0,96.0,84.0,12.0,WNBA
Candace Parker,38.0,100000.0,18.0,162.0,97.2,66.6,30.6,27.0,16.2,WNBA
Cayla George,35.0,74305.0,32.0,73.6,57.6,12.8,25.6,9.6,6.4,WNBA
Chelsea Gray,31.0,196267.0,40.0,612.0,160.0,292.0,100.0,56.0,24.0,WNBA
Cheyenne Parker-Tyus,31.0,216100.0,40.0,24000.0,10680.0,2840.0,3600.0,1720.0,2360.0,WNBA
Chiney Ogwumike,32.0,90000.0,10.0,84.0,43.0,13.0,12.0,13.0,3.0,WNBA
Courtney Vandersloot,35.0,194000.0,39.0,409.5,136.5,315.9,105.3,50.7,23.4,WNBA
Courtney Williams,30.0,160000.0,40.0,416.0,240.0,252.0,100.0,40.0,12.0,WNBA
Crystal Dangerfield,26.0,80000.0,35.0,287.0,101.5,108.5,42.0,31.5,7.0,WNBA
Cyesha Goree,30.0,13811.0,10.0,39.0,12.0,1.0,4.0,3.0,1.0,WNBA
Dana Evans,25.0,69053.0,39.0,351.0,46.8,117.0,62.4,27.3,3.9,WNBA
Danielle Robinson,35.0,155000.0,32.0,185.6,70.4,105.6,41.6,22.4,3.2,WNBA
